codigo;disciplina;area;habilidade;tema;dificuldade;local;apoio;enunciado;alternativa_A;alternativa_B;alternativa_C;alternativa_D;gabarito;explicacao;publicada;revisada_humano
ARENA6-LP-001;Língua Portuguesa;Linguagens;EF69LP03;Leitura de notícia;facil;biblioteca;A escola iniciou uma campanha para arrecadar livros infantis. As doações serão recebidas até sexta-feira e destinadas à biblioteca comunitária.;Qual é o fato central do texto?;A escola iniciou uma campanha de arrecadação de livros.;A biblioteca será fechada na sexta-feira.;Os alunos devem comprar livros novos.;A comunidade não poderá participar.;A;O fato principal é o início da campanha de arrecadação de livros.;True;False
ARENA6-LP-002;Língua Portuguesa;Linguagens;EF69LP03;Leitura de notícia;facil;biblioteca;Depois de uma semana de chuvas, a ponte do bairro foi reaberta nesta manhã. Técnicos afirmaram que a estrutura está segura para pedestres e veículos leves.;O que aconteceu nesta manhã?;Começou uma semana de chuvas.;A ponte do bairro foi reaberta.;A ponte foi construída.;Os veículos leves foram proibidos.;B;O texto informa que a ponte foi reaberta nesta manhã.;True;False
ARENA6-LP-003;Língua Portuguesa;Linguagens;EF67LP28;Compreensão de narrativa;facil;biblioteca;Rafaela guardou o guarda-chuva na mochila. Ao sair de casa, viu o céu limpo e sorriu. Poucos minutos depois, nuvens escuras cobriram a rua.;Por que ter levado o guarda-chuva foi uma atitude prudente?;Porque o objeto deixaria a mochila mais pesada.;Porque havia possibilidade de chuva.;Porque ela pretendia emprestá-lo.;Porque o céu continuou limpo o dia inteiro.;B;As nuvens escuras indicam possibilidade de chuva, por isso o guarda-chuva poderia ser útil.;True;False
ARENA6-LP-004;Língua Portuguesa;Linguagens;EF67LP28;Compreensão de narrativa;facil;biblioteca;João encontrou uma carteira no pátio e a entregou à coordenação. Mais tarde, a dona do objeto agradeceu por recuperar seus documentos.;Qual característica de João aparece no texto?;Desonestidade.;Indiferença.;Honestidade.;Impaciência.;C;Ao devolver a carteira encontrada, João demonstrou honestidade.;True;False
ARENA6-LP-005;Língua Portuguesa;Linguagens;EF67LP28;Inferência;facil;biblioteca;A sala ficou silenciosa quando a diretora entrou com uma caixa coberta por um pano. Todos se inclinaram para enxergar melhor.;O comportamento dos estudantes revela principalmente:;Curiosidade.;Sono.;Raiva.;Desinteresse.;A;Inclinar-se para ver melhor indica curiosidade sobre o conteúdo da caixa.;True;False
ARENA6-LP-006;Língua Portuguesa;Linguagens;EF67LP28;Inferência;facil;biblioteca;Pedro apertou o passo, olhou várias vezes para o relógio e entrou na escola quando o sinal começou a tocar.;É possível concluir que Pedro:;Chegou muito cedo.;Estava preocupado em não se atrasar.;Não sabia onde ficava a escola.;Queria voltar para casa.;B;Olhar o relógio e acelerar o passo indicam preocupação com o horário.;True;False
ARENA6-LP-007;Língua Portuguesa;Linguagens;EF69LP47;Elementos da narrativa;facil;biblioteca;Naquela tarde, no quintal da avó, Clara descobriu uma pequena caixa enterrada perto da mangueira.;Qual expressão indica o lugar da narrativa?;Naquela tarde.;Clara descobriu.;No quintal da avó.;Uma pequena caixa.;C;“No quintal da avó” apresenta o espaço em que a ação ocorreu.;True;False
ARENA6-LP-008;Língua Portuguesa;Linguagens;EF69LP47;Elementos da narrativa;facil;biblioteca;Quando a luz acabou, Lucas acendeu uma lanterna e continuou lendo o livro.;Qual acontecimento muda a situação inicial?;Lucas estava lendo.;A luz acabou.;O livro era interessante.;A lanterna era nova.;B;A falta de energia altera a situação e leva Lucas a usar a lanterna.;True;False
ARENA6-LP-009;Língua Portuguesa;Linguagens;EF67LP06;Efeito de sentido;medio;biblioteca;"O corredor estava completamente silencioso; ouvia-se apenas o tic-tac do relógio.";A expressão “apenas o tic-tac” reforça a ideia de:;Barulho intenso.;Silêncio do ambiente.;Música no corredor.;Conversa entre alunos.;B;Ouvir somente o relógio enfatiza que havia muito silêncio.;True;False
ARENA6-LP-010;Língua Portuguesa;Linguagens;EF67LP06;Efeito de sentido;medio;biblioteca;A atleta cruzou a linha de chegada voando.;Nesse contexto, a palavra “voando” indica que a atleta:;Estava em um avião.;Correu muito rapidamente.;Saltou sobre a linha.;Usava asas.;B;A palavra foi usada em sentido figurado para indicar grande velocidade.;True;False
ARENA6-LP-011;Língua Portuguesa;Linguagens;EF69LP03;Informação explícita;medio;biblioteca;A feira de ciências ocorrerá no sábado, das 8h às 12h, no ginásio da escola.;Onde será realizada a feira?;Na biblioteca.;No laboratório.;No ginásio da escola.;Na praça do bairro.;C;O local informado explicitamente é o ginásio da escola.;True;False
ARENA6-LP-012;Língua Portuguesa;Linguagens;EF69LP03;Informação explícita;medio;biblioteca;O ônibus da excursão sairá às 7h. Os estudantes devem chegar ao colégio às 6h30.;A que horas os estudantes devem chegar?;6h.;6h30.;7h.;7h30.;B;O texto informa que a chegada deve ocorrer às 6h30.;True;False
ARENA6-LP-013;Língua Portuguesa;Linguagens;EF67LP28;Tema do texto;medio;biblioteca;Separar resíduos recicláveis reduz a quantidade de lixo enviada aos aterros e permite o reaproveitamento de materiais como papel, vidro, metal e plástico.;Qual é o tema principal?;A fabricação de brinquedos.;A importância da reciclagem.;A construção de aterros.;O preço do papel.;B;O texto explica benefícios da separação e reciclagem de resíduos.;True;False
ARENA6-LP-014;Língua Portuguesa;Linguagens;EF67LP28;Tema do texto;medio;biblioteca;Dormir bem ajuda na concentração, na memória e na disposição para as atividades do dia. Manter horários regulares favorece a qualidade do sono.;O texto trata principalmente de:;Alimentação escolar.;Prática de esportes.;Importância do sono.;Uso de celulares.;C;As informações destacam os benefícios de dormir bem.;True;False
ARENA6-LP-015;Língua Portuguesa;Linguagens;EF67LP28;Relação de causa;medio;biblioteca;A quadra ficou molhada porque choveu durante o recreio.;Qual foi a causa de a quadra ficar molhada?;O recreio terminou.;Os alunos correram.;Choveu.;A quadra foi pintada.;C;A conjunção “porque” introduz a causa: a chuva.;True;False
ARENA6-LP-016;Língua Portuguesa;Linguagens;EF69LP03;Gêneros textuais;facil;biblioteca;“Vende-se bicicleta em bom estado. Contato: 99999-0000.”;Esse texto é um:;Poema.;Anúncio classificado.;Conto.;Verbete.;B;O texto anuncia a venda de um produto e apresenta contato.;True;False
ARENA6-LP-017;Língua Portuguesa;Linguagens;EF69LP03;Finalidade do texto;facil;biblioteca;“Não pise na grama.”;A finalidade desse aviso é:;Narrar uma história.;Dar uma orientação.;Fazer uma pergunta.;Descrever uma personagem.;B;O aviso orienta o comportamento do leitor.;True;False
ARENA6-LP-018;Língua Portuguesa;Linguagens;EF69LP03;Gêneros textuais;facil;biblioteca;“Ingredientes: 2 ovos, 1 xícara de leite e 2 xícaras de farinha. Modo de preparo: misture tudo...”;O trecho pertence a uma:;Receita culinária.;Notícia.;Carta pessoal.;Lenda.;A;A lista de ingredientes e o modo de preparo caracterizam uma receita.;True;False
ARENA6-LP-019;Língua Portuguesa;Linguagens;EF69LP03;Finalidade do texto;facil;biblioteca;“Vacine seu animal. Proteja sua família e sua comunidade.”;O cartaz pretende principalmente:;Divertir o leitor.;Incentivar a vacinação de animais.;Vender ração.;Narrar uma aventura.;B;A mensagem busca convencer o leitor a vacinar o animal.;True;False
ARENA6-LP-020;Língua Portuguesa;Linguagens;EF69LP03;Gêneros textuais;facil;biblioteca;;Um texto que apresenta uma palavra, sua classe gramatical e seus significados é chamado de:;Verbete de dicionário.;Bilhete.;Crônica.;Entrevista.;A;O verbete registra informações sobre uma palavra.;True;False
ARENA6-LP-021;Língua Portuguesa;Linguagens;EF69LP03;Gêneros textuais;facil;biblioteca;;Qual gênero costuma registrar fatos recentes de interesse público?;Notícia.;Receita.;Fábula.;Lista de compras.;A;A notícia informa acontecimentos recentes de interesse coletivo.;True;False
ARENA6-LP-022;Língua Portuguesa;Linguagens;EF67LP28;Gêneros literários;facil;biblioteca;;Uma narrativa curta com animais que agem como pessoas e apresenta uma lição é geralmente uma:;Fábula.;Reportagem.;Bula.;Ata.;A;A fábula usa frequentemente animais personificados e transmite uma moral.;True;False
ARENA6-LP-023;Língua Portuguesa;Linguagens;EF69LP03;Finalidade do texto;facil;biblioteca;;Em um manual de instruções, predominam orientações para:;Realizar uma tarefa ou utilizar um produto.;Contar uma piada.;Defender uma opinião política.;Relatar uma memória.;A;O manual explica procedimentos de uso ou montagem.;True;False
ARENA6-LP-024;Língua Portuguesa;Linguagens;EF67LP33;Pontuação;facil;biblioteca;;Qual frase está pontuada corretamente?;Que horas começa a aula.;Que horas começa a aula?;Que horas, começa a aula!;Que horas começa, a aula?;B;Perguntas diretas terminam com ponto de interrogação.;True;False
ARENA6-LP-025;Língua Portuguesa;Linguagens;EF67LP33;Pontuação;facil;biblioteca;;Em “Marina, feche a porta, por favor”, as vírgulas isolam:;Um vocativo.;Uma data.;Uma enumeração.;Um lugar.;A;“Marina” é o termo usado para chamar a pessoa, isto é, um vocativo.;True;False
ARENA6-LP-026;Língua Portuguesa;Linguagens;EF67LP33;Pontuação;facil;biblioteca;;Qual opção usa dois-pontos adequadamente?;Levei: caderno, lápis e régua.;Levei caderno: lápis e régua.;Levei caderno, lápis: e régua.;Levei caderno lápis e: régua.;A;Os dois-pontos podem introduzir uma enumeração.;True;False
ARENA6-LP-027;Língua Portuguesa;Linguagens;EF67LP32;Ortografia;facil;biblioteca;;Qual opção apresenta a grafia correta de “exceção”?;Exceção.;Excessão.;Eceção.;Esceção.;A;A grafia correta é “exceção”.;True;False
ARENA6-LP-028;Língua Portuguesa;Linguagens;EF67LP32;Ortografia;facil;biblioteca;;Qual opção apresenta a grafia correta de “pesquisa”?;Pesquisa.;Pesquiza.;Pezquisa.;Pesquissa.;A;A grafia correta é “pesquisa”.;True;False
ARENA6-LP-029;Língua Portuguesa;Linguagens;EF67LP32;Ortografia;facil;biblioteca;;Complete corretamente: “A turma fez uma boa _____ do livro.”;análize;análise;analize;análisse;B;A palavra “análise” é escrita com s e recebe acento.;True;False
ARENA6-LP-030;Língua Portuguesa;Linguagens;EF06LP04;Concordância verbal;medio;biblioteca;;Complete: “Os estudantes _____ o experimento ontem.”;realizou;realizaram;realizará;realizando;B;O sujeito plural exige o verbo no plural: realizaram.;True;False
ARENA6-LP-031;Língua Portuguesa;Linguagens;EF06LP04;Concordância verbal;medio;biblioteca;;Qual frase apresenta concordância adequada?;As menina chegou cedo.;Os aluno estudou.;A equipe participou da feira.;Nós foi ao museu.;C;“A equipe participou” mantém concordância entre sujeito singular e verbo.;True;False
ARENA6-LP-032;Língua Portuguesa;Linguagens;EF06LP04;Concordância nominal;medio;biblioteca;;Complete: “As atividades estavam _____.”;organizado;organizadas;organizados;organizando;B;“Atividades” é feminino plural, portanto “organizadas”.;True;False
ARENA6-LP-033;Língua Portuguesa;Linguagens;EF06LP05;Verbos;medio;biblioteca;;Na frase “Amanhã visitaremos o museu”, o verbo indica:;Passado.;Presente.;Futuro.;Ordem.;C;“Visitaremos” expressa uma ação futura.;True;False
ARENA6-LP-034;Língua Portuguesa;Linguagens;EF06LP05;Verbos;medio;biblioteca;;Na frase “Ontem choveu muito”, a palavra “ontem” indica tempo:;Passado.;Presente.;Futuro.;Indefinido.;A;“Ontem” situa a ação no passado.;True;False
ARENA6-LP-035;Língua Portuguesa;Linguagens;EF06LP05;Verbos;medio;biblioteca;;Qual verbo está no infinitivo?;Cantou.;Cantando.;Cantar.;Cantará.;C;“Cantar” é a forma infinitiva do verbo.;True;False
ARENA6-LP-036;Língua Portuguesa;Linguagens;EF06LP06;Substantivos e adjetivos;medio;biblioteca;;Em “A floresta densa abriga muitos animais”, a palavra “densa” caracteriza:;Floresta.;Animais.;Abriga.;Muitos.;A;“Densa” é adjetivo que caracteriza a floresta.;True;False
ARENA6-LP-037;Língua Portuguesa;Linguagens;EF06LP06;Substantivos e adjetivos;medio;biblioteca;;Qual palavra é um substantivo?;Bonito.;Rapidamente.;Coragem.;Correr.;C;“Coragem” nomeia uma qualidade e funciona como substantivo.;True;False
ARENA6-LP-038;Língua Portuguesa;Linguagens;EF06LP06;Pronomes;medio;biblioteca;;Em “Ana trouxe o livro. Ela começou a leitura”, o pronome “Ela” substitui:;Livro.;Leitura.;Ana.;Trouxe.;C;O pronome evita repetir o nome Ana.;True;False
ARENA6-LP-039;Língua Portuguesa;Linguagens;EF06LP06;Pronomes;medio;biblioteca;;Qual palavra é um pronome possessivo?;Meu.;Ontem.;Azul.;Cantar.;A;“Meu” indica posse.;True;False
ARENA6-LP-040;Língua Portuguesa;Linguagens;EF67LP36;Coesão;medio;biblioteca;;"Qual palavra completa melhor: “Estudei bastante; _____, consegui resolver a atividade.”";por isso;embora;porque;enquanto;A;“Por isso” introduz a consequência de ter estudado.;True;False
ARENA6-LP-041;Língua Portuguesa;Linguagens;EF67LP36;Coesão;medio;biblioteca;;Complete: “Levei o guarda-chuva _____ o céu estava nublado.”;porque;porém;portanto;ou;A;“Porque” apresenta a causa da ação.;True;False
ARENA6-LP-042;Língua Portuguesa;Linguagens;EF67LP36;Coesão;medio;biblioteca;;Em “O livro era longo, mas interessante”, a palavra “mas” indica:;Adição.;Oposição.;Causa.;Conclusão.;B;A conjunção “mas” estabelece contraste.;True;False
ARENA6-LP-043;Língua Portuguesa;Linguagens;EF67LP06;Sentido de palavras;facil;biblioteca;;Qual é um sinônimo de “alegre”?;Triste.;Contente.;Distante.;Pesado.;B;“Contente” tem sentido semelhante a “alegre”.;True;False
ARENA6-LP-044;Língua Portuguesa;Linguagens;EF67LP06;Sentido de palavras;facil;biblioteca;;Qual é um antônimo de “aumentar”?;Crescer.;Ampliar.;Diminuir.;Somar.;C;“Diminuir” apresenta sentido oposto a “aumentar”.;True;False
ARENA6-LP-045;Língua Portuguesa;Linguagens;EF67LP06;Sentido no contexto;medio;biblioteca;;Em “A professora pediu uma resposta clara”, “clara” significa:;De cor branca.;Fácil de compreender.;Muito silenciosa.;Feita pela manhã.;B;No contexto, “clara” significa compreensível.;True;False
ARENA6-LP-046;Língua Portuguesa;Linguagens;EF67LP06;Linguagem figurada;medio;biblioteca;;Em “A notícia caiu como uma bomba”, a expressão indica que a notícia:;Era feita de metal.;Causou grande impacto.;Explodiu de verdade.;Foi esquecida.;B;A expressão figurada indica surpresa ou forte impacto.;True;False
ARENA6-LP-047;Língua Portuguesa;Linguagens;EF67LP28;Sequência textual;medio;biblioteca;;Qual sequência está em ordem lógica para lavar as mãos?;Secar, molhar, ensaboar, enxaguar.;Molhar, ensaboar, esfregar, enxaguar e secar.;Ensaboar, secar, molhar e enxaguar.;Enxaguar, secar, esfregar e molhar.;B;A ordem correta começa por molhar e termina por secar.;True;False
ARENA6-LP-048;Língua Portuguesa;Linguagens;EF67LP28;Resumo;medio;biblioteca;;Um bom resumo deve:;Copiar cada frase do texto.;Apresentar as ideias principais com concisão.;Acrescentar fatos não mencionados.;Excluir o assunto central.;B;O resumo conserva as ideias essenciais de forma breve.;True;False
ARENA6-LP-049;Língua Portuguesa;Linguagens;EF67LP28;Título;medio;biblioteca;;Qual título combina melhor com um texto sobre economia de água?;Como evitar o desperdício de água;A história dos aviões;Receitas de sobremesa;Animais do deserto;A;O título deve antecipar o assunto central do texto.;True;False
ARENA6-LP-050;Língua Portuguesa;Linguagens;EF67LP33;Uso de maiúsculas;medio;biblioteca;;Qual frase usa letras maiúsculas corretamente?;maria mora no acre.;Maria mora no Acre.;Maria Mora No acre.;maria Mora no Acre.;B;Nomes próprios de pessoa e estado começam com letra maiúscula.;True;False
ARENA6-MAT-001;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 248 + 376?;624;634;614;724;A;248 + 376 = 624.;True;False
ARENA6-MAT-002;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 735 + 289?;1.024;1.014;1.034;1.124;A;735 + 289 = 1024.;True;False
ARENA6-MAT-003;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 1208 + 497?;1.805;1.705;1.715;1.695;B;1208 + 497 = 1705.;True;False
ARENA6-MAT-004;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 905 - 368?;547;637;527;537;D;905 - 368 = 537.;True;False
ARENA6-MAT-005;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 1500 - 675?;925;815;825;835;C;1500 - 675 = 825.;True;False
ARENA6-MAT-006;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 3204 - 1879?;1.325;1.425;1.335;1.315;A;3204 - 1879 = 1325.;True;False
ARENA6-MAT-007;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 468 + 257?;725;715;735;825;A;468 + 257 = 725.;True;False
ARENA6-MAT-008;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 1000 - 486?;504;614;514;524;C;1000 - 486 = 514.;True;False
ARENA6-MAT-009;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 2745 + 1255?;4.010;4.100;3.990;4.000;D;2745 + 1255 = 4000.;True;False
ARENA6-MAT-010;Matemática;Matemática;EF06MA03;Operações com números naturais;facil;laboratorio;;Qual é o resultado de 830 - 395?;425;435;535;445;B;830 - 395 = 435.;True;False
ARENA6-MAT-011;Matemática;Matemática;EF06MA03;Multiplicação e divisão;facil;laboratorio;;Calcule: 24 × 15.;360;352;368;720;A;O resultado de 24 × 15 é 360.;True;False
ARENA6-MAT-012;Matemática;Matemática;EF06MA03;Multiplicação e divisão;facil;laboratorio;;Calcule: 36 × 12.;864;432;424;440;B;O resultado de 36 × 12 é 432.;True;False
ARENA6-MAT-013;Matemática;Matemática;EF06MA03;Multiplicação e divisão;facil;laboratorio;;Calcule: 125 × 8.;2000;1008;1000;992;C;O resultado de 125 × 8 é 1000.;True;False
ARENA6-MAT-014;Matemática;Matemática;EF06MA03;Multiplicação e divisão;facil;laboratorio;;Calcule: 144 ÷ 12.;12;4;24;20;A;O resultado de 144 ÷ 12 é 12.;True;False
ARENA6-MAT-015;Matemática;Matemática;EF06MA03;Multiplicação e divisão;facil;laboratorio;;Calcule: 420 ÷ 7.;60;52;120;68;A;O resultado de 420 ÷ 7 é 60.;True;False
ARENA6-MAT-016;Matemática;Matemática;EF06MA03;Multiplicação e divisão;facil;laboratorio;;Calcule: 936 ÷ 9.;112;96;208;104;D;O resultado de 936 ÷ 9 é 104.;True;False
ARENA6-MAT-017;Matemática;Matemática;EF06MA03;Multiplicação e divisão;facil;laboratorio;;Calcule: 18 × 25.;900;442;458;450;D;O resultado de 18 × 25 é 450.;True;False
ARENA6-MAT-018;Matemática;Matemática;EF06MA03;Multiplicação e divisão;facil;laboratorio;;Calcule: 672 ÷ 8.;76;168;92;84;D;O resultado de 672 ÷ 8 é 84.;True;False
ARENA6-MAT-019;Matemática;Matemática;EF06MA05;Divisibilidade;medio;laboratorio;;Qual número é divisível por 3?;124;126;128;130;B;A soma dos algarismos de 126 é 9, múltiplo de 3.;True;False
ARENA6-MAT-020;Matemática;Matemática;EF06MA05;Divisibilidade;medio;laboratorio;;Qual número é divisível por 5?;232;345;418;622;B;Números divisíveis por 5 terminam em 0 ou 5.;True;False
ARENA6-MAT-021;Matemática;Matemática;EF06MA05;Números primos;medio;laboratorio;;Qual dos números é primo?;21;29;35;39;B;29 tem apenas dois divisores positivos: 1 e 29.;True;False
ARENA6-MAT-022;Matemática;Matemática;EF06MA05;Múltiplos;medio;laboratorio;;Qual é um múltiplo de 8?;42;54;64;70;C;64 = 8 × 8.;True;False
ARENA6-MAT-023;Matemática;Matemática;EF06MA06;Divisores;medio;laboratorio;;Qual número é divisor de 36?;5;6;7;8;B;36 ÷ 6 = 6, sem resto.;True;False
ARENA6-MAT-024;Matemática;Matemática;EF06MA06;Múltiplos e divisores;medio;laboratorio;;O menor múltiplo comum positivo de 4 e 6 é:;8;10;12;24;C;12 é o primeiro número positivo múltiplo de 4 e de 6.;True;False
ARENA6-MAT-025;Matemática;Matemática;EF06MA07;Frações;medio;laboratorio;;Qual fração representa metade?;1/3;1/4;1/2;2/3;C;Metade corresponde a uma de duas partes iguais.;True;False
ARENA6-MAT-026;Matemática;Matemática;EF06MA07;Frações equivalentes;medio;laboratorio;;Qual fração é equivalente a 1/2?;2/3;2/4;3/5;4/10;B;Multiplicando numerador e denominador de 1/2 por 2, obtemos 2/4.;True;False
ARENA6-MAT-027;Matemática;Matemática;EF06MA07;Comparação de frações;medio;laboratorio;;Qual fração é maior?;1/4;2/4;3/4;1/8;C;Entre frações com denominador 4, a de maior numerador é 3/4.;True;False
ARENA6-MAT-028;Matemática;Matemática;EF06MA08;Representações racionais;medio;laboratorio;;A forma decimal de 1/2 é:;0,2;0,5;1,2;2,0;B;1 dividido por 2 é 0,5.;True;False
ARENA6-MAT-029;Matemática;Matemática;EF06MA08;Representações racionais;medio;laboratorio;;A fração correspondente a 0,25 é:;1/2;1/3;1/4;3/4;C;0,25 representa 25 centésimos, que equivalem a 1/4.;True;False
ARENA6-MAT-030;Matemática;Matemática;EF06MA09;Fração de quantidade;medio;laboratorio;;Quanto é 3/4 de 20?;5;10;15;18;C;20 ÷ 4 = 5 e 5 × 3 = 15.;True;False
ARENA6-MAT-031;Matemática;Matemática;EF06MA09;Fração de quantidade;medio;laboratorio;;Quanto é 2/5 de 30?;6;10;12;15;C;30 ÷ 5 = 6 e 6 × 2 = 12.;True;False
ARENA6-MAT-032;Matemática;Matemática;EF06MA10;Adição de frações;medio;laboratorio;;Qual é o resultado de 1/4 + 2/4?;2/8;3/4;3/8;1/2;B;Com denominadores iguais, somam-se os numeradores: 3/4.;True;False
ARENA6-MAT-033;Matemática;Matemática;EF06MA10;Subtração de frações;medio;laboratorio;;Qual é o resultado de 5/6 - 2/6?;3/6;3/12;7/6;2/6;A;Com denominadores iguais: 5 - 2 = 3, mantendo 6.;True;False
ARENA6-MAT-034;Matemática;Matemática;EF06MA07;Frações;medio;laboratorio;;Uma pizza foi dividida em 8 partes iguais e 3 foram comidas. Que fração foi consumida?;3/8;5/8;8/3;1/3;A;Foram consumidas 3 de 8 partes iguais: 3/8.;True;False
ARENA6-MAT-035;Matemática;Matemática;EF06MA11;Números decimais;medio;laboratorio;;Calcule 2,5 + 1,75.;3,25;4,25;4,75;5,25;B;Alinhando as casas decimais: 2,50 + 1,75 = 4,25.;True;False
ARENA6-MAT-036;Matemática;Matemática;EF06MA11;Números decimais;medio;laboratorio;;Calcule 8,4 - 3,2.;4,2;5,2;5,6;6,2;B;8,4 - 3,2 = 5,2.;True;False
ARENA6-MAT-037;Matemática;Matemática;EF06MA11;Números decimais;medio;laboratorio;;O resultado de 1,5 × 4 é:;4,5;5,0;6,0;6,5;C;1,5 somado quatro vezes resulta em 6,0.;True;False
ARENA6-MAT-038;Matemática;Matemática;EF06MA13;Porcentagem;medio;laboratorio;;10% de 200 corresponde a:;10;20;40;100;B;"10% é a décima parte; 200 ÷ 10 = 20.";True;False
ARENA6-MAT-039;Matemática;Matemática;EF06MA13;Porcentagem;medio;laboratorio;;25% de 80 corresponde a:;15;20;25;40;B;"25% é um quarto; 80 ÷ 4 = 20.";True;False
ARENA6-MAT-040;Matemática;Matemática;EF06MA12;Estimativa;medio;laboratorio;;O número 487 arredondado para a centena mais próxima é:;400;480;500;600;C;487 está mais próximo de 500 do que de 400.;True;False
ARENA6-MAT-041;Matemática;Matemática;EF06MA24;Medidas;medio;laboratorio;;2,5 litros correspondem a:;25 mL;250 mL;2.500 mL;25.000 mL;C;"Cada litro tem 1.000 mL; 2,5 L = 2.500 mL.";True;False
ARENA6-MAT-042;Matemática;Matemática;EF06MA24;Medidas;medio;laboratorio;;Uma aula começou às 13h20 e terminou às 14h10. Quanto durou?;40 minutos;50 minutos;60 minutos;70 minutos;B;De 13h20 a 14h são 40 minutos, mais 10: total 50.;True;False
ARENA6-MAT-043;Matemática;Matemática;EF06MA18;Polígonos;medio;laboratorio;;Um polígono com cinco lados é chamado de:;Quadrilátero;Pentágono;Hexágono;Octógono;B;O pentágono possui cinco lados.;True;False
ARENA6-MAT-044;Matemática;Matemática;EF06MA19;Triângulos;medio;laboratorio;;Um triângulo com três lados iguais é:;Escaleno;Isósceles;Equilátero;Retângulo;C;O triângulo equilátero tem os três lados iguais.;True;False
ARENA6-MAT-045;Matemática;Matemática;EF06MA20;Quadriláteros;medio;laboratorio;;Qual figura tem quatro lados iguais e quatro ângulos retos?;Trapézio;Losango qualquer;Quadrado;Triângulo;C;O quadrado reúne quatro lados iguais e quatro ângulos retos.;True;False
ARENA6-MAT-046;Matemática;Matemática;EF06MA24;Perímetro;medio;laboratorio;;Um retângulo mede 8 cm por 5 cm. Qual é o perímetro?;13 cm;26 cm;40 cm;80 cm;B;8 + 5 + 8 + 5 = 26 cm.;True;False
ARENA6-MAT-047;Matemática;Matemática;EF06MA24;Área;medio;laboratorio;;Um retângulo tem 6 m de comprimento e 4 m de largura. Qual é sua área?;10 m²;20 m²;24 m²;48 m²;C;A área do retângulo é 6 × 4 = 24 m².;True;False
ARENA6-MAT-048;Matemática;Matemática;EF06MA25;Ângulos;medio;laboratorio;;Um ângulo de 90° é chamado de:;Agudo;Reto;Obtuso;Raso;B;Ângulo reto mede 90°.;True;False
ARENA6-MAT-049;Matemática;Matemática;EF06MA30;Probabilidade;medio;laboratorio;;Ao lançar uma moeda comum, a probabilidade de sair cara é:;0;1/4;1/2;1;C;Há dois resultados igualmente possíveis e um favorável: 1/2.;True;False
ARENA6-MAT-050;Matemática;Matemática;EF06MA32;Leitura de dados;medio;laboratorio;;Em uma pesquisa, 12 alunos preferiram futebol, 8 vôlei e 5 natação. Qual foi a opção mais escolhida?;Futebol;Vôlei;Natação;Todas igualmente;A;Futebol recebeu 12 escolhas, o maior valor.;True;False
ARENA6-CIE-001;Ciências;Ciências da Natureza;EF06CI01;Misturas;medio;laboratorio;;Água e sal totalmente dissolvido formam uma mistura:;Heterogênea;Homogênea;Gasosa;Radioativa;B;A mistura apresenta uma única fase visível, portanto é homogênea.;True;False
ARENA6-CIE-002;Ciências;Ciências da Natureza;EF06CI01;Misturas;medio;laboratorio;;Água e óleo formam uma mistura:;Homogênea;Heterogênea;Pura;Metálica;B;Água e óleo formam fases visíveis diferentes.;True;False
ARENA6-CIE-003;Ciências;Ciências da Natureza;EF06CI01;Misturas;medio;laboratorio;;Qual exemplo é uma mistura heterogênea?;Água com açúcar dissolvido;Ar filtrado;Água e areia;Vinagre;C;Água e areia apresentam componentes/fases distinguíveis.;True;False
ARENA6-CIE-004;Ciências;Ciências da Natureza;EF06CI02;Transformações químicas;medio;laboratorio;;Qual situação apresenta formação de novas substâncias?;Gelo derretendo;Papel sendo cortado;Bolo assando;Água evaporando;C;Ao assar o bolo, ocorrem transformações químicas que formam novos materiais.;True;False
ARENA6-CIE-005;Ciências;Ciências da Natureza;EF06CI02;Transformações químicas;medio;laboratorio;;A formação de ferrugem é exemplo de:;Transformação química;Mudança apenas de tamanho;Separação de mistura;Fusão;A;A ferrugem envolve formação de novas substâncias.;True;False
ARENA6-CIE-006;Ciências;Ciências da Natureza;EF06CI03;Separação de misturas;medio;laboratorio;;Qual método é adequado para separar areia da água?;Filtração;Evaporação do metal;Imantação;Catação do líquido;A;O filtro retém a areia e permite a passagem da água.;True;False
